noisy,ideal,mitigated,mae_noisy,mae_mitigated
"[0.449951171875, 0.335693359375, 0.171142578125, 0.043212890625]","[0.51123046875, 0.31884765625, 0.16943359375, 0.00048828125]","[0.8927360773086548, 0.04118620604276657, 0.026719996705651283, 0.039357688277959824]",0.0306396484375,0.2101875157095492
"[0.416259765625, 0.1298828125, 0.362548828125, 0.09130859375]","[0.475341796875, 0.07177734375, 0.408447265625, 0.04443359375]","[0.898259162902832, 0.03821535035967827, 0.02618599310517311, 0.0373394675552845]",0.052490234375,0.21145868953317404
"[0.1513671875, 0.08154296875, 0.069580078125, 0.697509765625]","[0.107421875, 0.04296875, 0.001220703125, 0.848388671875]","[0.8604864478111267, 0.058511704206466675, 0.034286387264728546, 0.04671548679471016]",0.075439453125,0.40083659905940294
"[0.344970703125, 0.295166015625, 0.244384765625, 0.115478515625]","[0.3779296875, 0.28466796875, 0.258544921875, 0.078857421875]","[0.8814142346382141, 0.04553810879588127, 0.02989390678703785, 0.04315368831157684]",0.0235595703125,0.25174228893592954
"[0.111328125, 0.65283203125, 0.0380859375, 0.19775390625]","[0.00634765625, 0.7802734375, 0.0009765625, 0.21240234375]","[0.8200933933258057, 0.07155536860227585, 0.043235618621110916, 0.06511565297842026]",0.071044921875,0.4280023882165551
"[0.29443359375, 0.139892578125, 0.06640625, 0.499267578125]","[0.311767578125, 0.099365234375, 0.006591796875, 0.582275390625]","[0.8789015412330627, 0.04939291253685951, 0.029803799465298653, 0.04190172255039215]",0.0501708984375,0.29517298890277743
"[0.080078125, 0.24951171875, 0.057861328125, 0.612548828125]","[0.0, 0.267333984375, 0.0, 0.732666015625]","[0.8401387929916382, 0.06670396029949188, 0.03908355161547661, 0.05407371744513512]",0.0689697265625,0.43961116671562195
"[0.12451171875, 0.787841796875, 0.037353515625, 0.05029296875]","[0.0048828125, 0.99169921875, 0.001708984375, 0.001708984375]","[0.8136101365089417, 0.07390435039997101, 0.04449034854769707, 0.06799513846635818]",0.1019287109375,0.4588974276557565
"[0.2958984375, 0.5126953125, 0.082275390625, 0.109130859375]","[0.284912109375, 0.58935546875, 0.045166015625, 0.08056640625]","[0.8615047931671143, 0.05419071763753891, 0.03370186313986778, 0.050602659583091736]",0.038330078125,0.28829633351415396
"[0.698486328125, 0.0888671875, 0.067138671875, 0.1455078125]","[0.849609375, 0.021728515625, 0.0205078125, 0.108154296875]","[0.9271402359008789, 0.02848833240568638, 0.017934482544660568, 0.026436978951096535]",0.0755615234375,0.042145331390202045
"[0.7138671875, 0.091796875, 0.0673828125, 0.126953125]","[0.865234375, 0.020751953125, 0.017333984375, 0.0966796875]","[0.9284346103668213, 0.027924736961722374, 0.017604289576411247, 0.026036355644464493]",0.07568359375,0.035321664065122604
"[0.1748046875, 0.42138671875, 0.056884765625, 0.346923828125]","[0.103759765625, 0.489501953125, 0.009765625, 0.39697265625]","[0.8457643389701843, 0.06211390346288681, 0.037691082805395126, 0.054430700838565826]",0.05908203125,0.3849650090560317
"[0.4521484375, 0.081298828125, 0.400634765625, 0.06591796875]","[0.519287109375, 0.006103515625, 0.47021484375, 0.00439453125]","[0.904326856136322, 0.03555420786142349, 0.024811990559101105, 0.035306986421346664]",0.068359375,0.22270143683999777
"[0.096923828125, 0.54736328125, 0.070556640625, 0.28515625]","[0.015869140625, 0.642822265625, 0.013916015625, 0.327392578125]","[0.8243889808654785, 0.0702519491314888, 0.042786888778209686, 0.0625721663236618]",0.06884765625,0.4186953604221344
"[0.082275390625, 0.17236328125, 0.062744140625, 0.6826171875]","[0.0, 0.160888671875, 0.0, 0.839111328125]","[0.8461014628410339, 0.06474167853593826, 0.03765731677412987, 0.05149948596954346]",0.0782470703125,0.4418794037774205
"[0.413818359375, 0.332275390625, 0.201904296875, 0.052001953125]","[0.453857421875, 0.317138671875, 0.212890625, 0.01611328125]","[0.8885570168495178, 0.04269016906619072, 0.027936283499002457, 0.04081655293703079]",0.0255126953125,0.22970142774283886
"[0.22216796875, 0.138916015625, 0.06591796875, 0.572998046875]","[0.19970703125, 0.0966796875, 0.00341796875, 0.7001953125]","[0.8682951331138611, 0.05432480573654175, 0.032377537339925766, 0.04500243812799454]",0.0635986328125,0.34877385664731264
"[0.13330078125, 0.23486328125, 0.060791015625, 0.571044921875]","[0.089111328125, 0.22412109375, 0.0029296875, 0.683837890625]","[0.8489028811454773, 0.06254233419895172, 0.03702281042933464, 0.05153200775384903]",0.056396484375,0.3969423295930028
